0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:43 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/cart/D160FB417EF129B400491B5D1B168DFE HTTP/1.1" 200 4078
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:44 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:51 +0900] "GET /BookMarket/cart/remove HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:51 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:51 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:55 +0900] "GET /BookMarket/home HTTP/1.1" 200 2574
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:55 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:57 +0900] "GET /BookMarket/books HTTP/1.1" 200 5969
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:57 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:58 +0900] "GET /BookMarket/books/book?id=ISBN1234 HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:58 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:58 +0900] "GET /BookMarket/resources/js/controllers.js HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:15:59 +0900] "GET /BookMarket/books/update?id=ISBN1234 HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:16:00 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:16:02 +0900] "POST /BookMarket/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:16:02 +0900] "GET /BookMarket/logout HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:16:02 +0900] "GET /BookMarket/resources/css/bootstrap.min.css HTTP/1.1" 200 160392
